mnn,trade_name,drug_id,file_name
Гидроксикарбамид,Гидреа,357de1c9-1af3-4fef-b807-af0d39d7c3da,2fef3b0d-27ea-4d6b-88cf-53101b796b22.pdf
Гидроксикарбамид,Гидроксикарбамид,c8617c10-4a9c-40cb-a7a3-e90a2fd89b75,526ec577-5e3c-494b-9315-2ff27f0b30bc.pdf
Гидроксикарбамид,ГИДРОКСИКАРБАМИД,36ba8b14-fad2-4a7e-8533-1f6ff1dd3124,7060d2c1-9910-4ef8-9895-e453befe9300.pdf
Гилтеритиниб,Ксоспата,1a691f85-94da-4688-9fbf-cdc284c091c5,c400a210-589d-41ae-8c53-a45147d34abe.pdf
Гозерелин,Лизегора,dbf95623-bb4a-4a35-bad4-8889dc679a3e,1fb95e30-6f14-4154-8980-0ec713a86f02.pdf
Гозерелин,Золадекс,e2379b1f-f517-4676-82c7-c514d9bdd841,381682c2-743f-4b00-beb3-178399bd4013.pdf
Гозерелин,Гозерелин-лонг,a7fea35b-67f0-42d0-b033-d385a8791e57,c4ccac51-8455-45a4-95a1-1eaa0ef5452f.pdf
Гозерелин,Лизегора,c5815a90-6054-4763-b85a-3928e7f6b86c,235cc990-29d2-435a-8e85-26356c94cc50.pdf
Гозерелин,Лизегора,f0cdedbf-4489-4534-b3c3-a21b500741e1,438df00e-f351-42ba-b7e1-14aa3519d37f.pdf
Гозерелин,Золадекс,e64d22c6-b3e9-4424-9fa9-00af016903b2,c685e0a6-9207-428b-86a0-71e59caf7d9b.pdf
Дабрафениб,Тафинлар,9dccf099-659f-4b41-b730-ea88f23b12bf,34370854-2e17-495f-8fdd-be4d88caca83.pdf
Дакарбазин,Дакарбазин-Рус,5cebcf2e-7c59-4837-b93c-bcac05abdbab,e01cc1f2-8fa7-46b4-9de6-30b346cb385b.pdf
Дакарбазин,Дакарбазин-ЛЭНС,68367205-0a2a-4f83-9066-87b8da305ab3,c099a924-4363-493f-a9df-db1d3b1232d0.pdf
Дакарбазин,Дакарбазин медак,5646eea5-ffbd-4f0d-be25-cca4a31ef931,ceae1fd3-66e4-46e4-9392-5053f608bd1f.pdf
Дактиномицин,Космеген,7a7963cd-a2ef-4005-bb73-599029d44f00,f4e5cca8-0801-43c5-96ba-75560ba42fc2.pdf
Дактиномицин,Дактиномицин,58b0517d-517c-41ae-a37f-b743d255d39a,4b33d90d-30e9-4f44-843d-a883c8d7ccc7.pdf
Дактиномицин,Акномид Д,3322403f-982b-42aa-b455-fe5fd47456a6,4d657878-a330-48f2-b47b-1bad203683e2.pdf
Даратумумаб,Дарзалекс,465a5247-ef83-4ada-8f32-00bcca137d4a,86458800-b049-4e6d-b875-45dcc3b2cebe.pdf
Даратумумаб,Дарзалекс,24e2b569-78d7-4300-929b-3fbba8254144,35a6114c-d5fb-4a2e-bca5-3a9a6922abbd.pdf
Даратумумаб,Дарзалекс,ca7a353c-913b-45b7-a740-741ca06dad51,654515de-e6c9-490a-b5f3-466f5ee778fb.pdf
Даунорубицин,Даунорубицин-ЛЭНС,263ddab7-43be-4424-95b8-dd690646bae7,008bef68-b54b-4705-9c0c-2209899b6e90.pdf
Даунорубицин,Даунорубицин-ЛЭНС,40242245-d053-424a-bbda-7d51a7eea371,30925ce3-a5b0-4748-bea4-21da3d35bb10.pdf
Даунорубицин,Рубомицин,04ff69d0-51c3-4eef-992d-209e47b77662,e6b853d8-943c-486f-af45-a083ed1c3c7e.pdf
Даунорубицин,Рубомицин,abc1bcfd-dc4b-4aed-89b3-5706519bb4ad,e7eb6a03-dd3e-4ac6-8e60-3aef5ff2cd6d.pdf
Дегареликс,Фирмагон,d655302e-7b7e-4261-93a8-685233096b0d,eac932c0-cdd0-4df8-82d5-d708cfd3e316.pdf
Децитабин,Децитабин Эльфа,68bdaf1c-7e5e-41fa-9460-10989b825408,56ab79c5-6bd8-44a0-beec-5fa5382de5eb.pdf
Децитабин,Децитабин-АМЕДАРТ,2ce17a89-3c2f-4e94-90a5-12b9bd4ab1f9,91dd6cc5-5c4b-4fa1-bcad-8eee28e17812.pdf
Децитабин,Децитабин,b0329208-62fe-4770-8307-89d1afdd73e7,07e5eaa1-0497-4c57-849b-3807df007afd.pdf
Децитабин,Дакоген,a804887b-1c61-40c5-b58a-9f2cf529333e,5bb94c01-70f7-4cc9-a15a-de1db23dfb28.pdf
Децитабин,Децитабин Эльфа,41cca6ba-1eaf-424a-b2e6-98d60e2444de,998d37ed-0993-4d3d-a85f-80f6bea782ea.pdf
Децитабин,Децитана,d468f259-f13a-4c5e-af95-0604adb4ec7a,ba0313ed-8e05-428c-aa25-43bfbe8d2637.pdf
Диглицидил метилфосфонат,Глицифон,06fed240-7e62-4088-b3e2-21b91aba6b49,2a9d64c7-7cfb-40b1-b0fc-9c2912badea7.pdf
Доксорубицин,Доксорубицин-РОНЦ,8e9137d6-0fbf-4d0f-add8-0a9cb3b3ca6a,31cc2022-79d4-4088-ba93-64bf157be603.pdf
Доксорубицин,Доксорубицин-ДЕКО,a56cdb3e-00e2-4123-9342-d0ebf23300fd,849a721f-8238-4d40-8904-b89c124a17a4.pdf
Доксорубицин,Доксорубицин-ЛЭНС,06ab01be-c9d8-4c4d-a6d4-2d4c1fbbd93d,c17ca7ee-c0c3-4161-b038-21f34d85a45a.pdf
Доксорубицин,Доксорубицин,a3733c68-9eb2-48a5-8dd1-d15561eeb872,246a1aea-665a-4b61-8ef2-71d62b66bf1f.pdf
Доксорубицин,Никорубин,46250488-7615-4c85-9fb9-26f04039f233,49811b26-df55-44fb-a1df-b17651dbe049.pdf
Доксорубицин,Доксорубицин,9c2e443a-4edb-4b24-a7d3-d849d3720239,75e864e8-3184-4cf0-b6c6-fb927587924e.pdf
Доксорубицин,ДОКСОРУБИЦИН,411df250-9078-4bbf-9e91-00327400b4a1,dc2c4755-fcf8-41c2-b59e-c02b871c9f60.pdf
Доксорубицин,Доксорубицин-ЛЭНС,2e25cd2e-3b75-4a6d-b9ce-0dd570bf3267,e97e100f-6ea8-42d3-846f-4bf813cf70b8.pdf
Доксорубицин,ДОКСОРУБИЦИН,ffcc7af1-42fb-4626-b9f6-6e93808ca39e,edcc31ff-ad46-4979-bfe2-2abba209a8f2.pdf
Доцетаксел,Таутакс,60871f6f-f8a1-4783-baa5-77b4105d51ac,31f9b725-8029-4f14-8aef-1283be840c9f.pdf
Доцетаксел,Доцетаксел-Рус,fa9ab989-1eae-43bf-9035-537ae5be7a3c,7580803c-97b9-4905-95c3-18feb3318f4b.pdf
Доцетаксел,НОВОТАКС,ae6c686b-81fe-4b46-b8b9-c06bdcbd2df6,df79f061-7847-416b-8988-c9c1fcc73d68.pdf
Доцетаксел,Доцетаксел,bdbcdb0b-8250-4155-bd28-a03d06e94065,ea9e26bd-d971-4787-b179-d957cda9f49e.pdf
Доцетаксел,ДОЦЕТАКСЕЛ,9a736fa2-a80c-49ce-aa37-bb03a99f807e,3d240e58-c01d-4712-969a-e8fe069842ab.pdf
Доцетаксел,ДОЦЕТАКСЕЛ-ПРОМОМЕД,6081aa9a-95af-4a94-bb64-5b7f1f07e569,75b8415e-2024-4133-b58d-f54660776815.pdf
Доцетаксел,Доцетаксел,9b0eda8d-df99-4b63-b3a6-f55859f69041,9f7eb658-7e61-46c6-bd2f-dea2257c863f.pdf
Доцетаксел,Доцетаксел-Фарм-Синтез,8c538f72-a6cc-470d-bd1d-723902af4a10,a2041173-e7d7-48d2-86af-74b8471cfaef.pdf
Доцетаксел,Доцетаксел,1839c887-1baf-42c1-9dd9-7f4b52625a4c,cbdaaf60-78d7-4508-af3d-ab14cd9accc0.pdf
Доцетаксел,Такселен,d5366cd5-f393-4bf0-a573-3ce13f309011,d59b996b-46cf-49a8-bea1-51446d1e5323.pdf
Дурвалумаб,ИМФИНЗИ,5e71e0aa-393c-42f0-a0e3-50db9c1c73c9,0ebcbd2c-4257-4a52-8078-d7064c2c9c5b.pdf
Ибрутиниб,Ибрутиниб Фармасинтез,1c61c98a-be1e-4d07-b175-e578685263eb,0f5ece32-65fe-419d-82c1-1b6c6cecf139.pdf
Ибрутиниб,Ибрутиниб-Промомед,f59683dd-7d3d-4b56-a4d0-340713d85a5f,438e6f74-8b62-480b-b132-89b4db635b70.pdf
